rank,company,cik,ticker,sic,state_location,state_of_incorporation,revenues,profits
359,DaVita,927066,DVA,8090,CO,DE,6447.4,405.7
360,CMS Energy,811156,CMS,4931,MI,MI,6442,340
361,Commercial Metals,22444,CMC,3312,TX,DE,6429.1,-205.3
362,NiSource,1111711,NI,4931,IN,DE,6422.7,292
363,Pantry,915862,PTRY,5500,NC,DE,6367.8,-165.6
364,CIT Group,1171825,CIT,6172,NJ,DE,6362.5,516.8
365,Yahoo,1011006,YHOO,7373,CA,DE,6324.7,1231.7
366,Sanmina-SCI,89089,SCI,7200,TX,TX,6318.7,122.4
367,Reliance Steel & Aluminum,861884,RS,5051,CA,CA,6312.8,194.4
368,Steel Dynamics,1022671,STLD,3312,IN,IN,6300.9,140.7
369,Smurfit-Stone Container,919226,SSCC,2631,IL,DE,6286,N.A.
370,Dillard's,28917,DDS,5311,AR,DE,6253.5,179.6
371,Omnicare,353230,OCR,5912,KY,DE,6199.5,-106.1
372,McGraw-Hill,64040,MHP,2731,NY,NY,6168.3,828.1
373,MeadWestvaco,1159297,MWV,2621,VA,DE,6168,106
374,Virgin Media,1270400,VMED,4813,NY,DE,6138.2,-218.3
375,Cameron International,941548,CAM,3533,TX,DE,6134.8,562.9
376,Dana Holding,26780,DAN,3714,OH,DE,6109,10
377,EOG Resources,821189,EOG,1311,TX,DE,6099.9,160.7
378,Ecolab,1021422,ELB,6798,CA,DE,6089.7,530.3
379,Jarden,916836,JDN,6798,GA,MD,6022.7,106.7
380,MGM Resorts International,789570,MGM,7011,NV,DE,6019.2,-1437.4
381,Spectrum Group International,895516,SPGZ,5094,CA,NY,6012.4,-1.1
382,Symantec,849399,SYMC,7372,CA,DE,5985,714
383,AK Steel Holding,918160,AKS,3312,OH,DE,5968.3,-128.9
384,Expeditors International of Washington,746515,EXPD,4731,WA,WA,5967.6,344.2
385,TravelCenters of America,65873,TA,1000,MI,DE,5962.5,-65.6
386,Tenneco,1024725,TEN,3714,IL,DE,5937,39
387,Advance Auto Parts,1158449,AAP,5531,VA,DE,5925.2,346.1
388,Celanese,1095442,CE,2673,DC,AZ,5918,377
389,Frontier Oil,110430,FTO,2911,TX,WY,5884.9,37.8
390,Dollar Tree,935703,DLTR,5331,VA,VA,5882.4,397.3
391,CC Media Holdings,,PRIVATE,,,,5865.7,-479.1
392,Mattel,1041989,MT,3312,NV,PA,5856.2,684.9
393,Franklin Resources,38777,BEN,6282,CA,DE,5853,1445.7
394,Domtar,1381531,UFS,2621,AZ,DE,5850,605
395,Barnes & Noble,890491,BKS,5940,NY,DE,5810.6,36.7
396,Amerigroup,1064863,AGP,6324,VA,VA,5806.3,273.4
397,Newell Rubbermaid,71829,NR,3533,TX,DE,5759.2,292.8
398,Fidelity National Financial,1331875,FNF,6361,FL,NC,5740.3,370.1
399,Mutual of Omaha Insurance,,PRIVATE,,,,5724.2,-45.2
400,PetSmart,863157,PETM,5990,AZ,DE,5693.8,239.9
401,Universal American,1514128,UAM,6324,NY,DE,5687.2,187.7
402,Hershey,47111,HSY,2060,PA,DE,5671,509.8
403,BorgWarner,908255,BWA,3714,MI,DE,5652.8,377.4
404,Dr Pepper Snapple Group,1418135,DPS,2080,TX,DE,5636,528
405,Pacific Life,,PRIVATE,,,,5603,480
406,NII Holdings,1037016,NIHD,4812,VA,DE,5601.3,341.1
407,UGI,884614,UGI,4932,PA,PA,5591.4,261
408,Universal Health Services,352915,UHS,8062,PA,DE,5572.3,230.2
409,Precision Castparts,63271,PC,3600,MO,MO,5539.6,921.8
410,MasterCard,1141391,MA,7389,NY,DE,5539,1846
411,Clorox,21076,CLX,2842,CA,DE,5534,603
412,Core-Mark Holding,1318084,CORE,5141,CA,DE,5510.3,17.7
413,Group 1 Automotive,1031203,GPI,5500,TX,DE,5509.2,50.3
414,Anixter International,52795,AXE,5063,IL,DE,5472.1,108.5
415,Gannett,39899,GCI,2711,VA,DE,5471.4,588.2
416,Targa Resources,1379661,NGLS,4922,TX,DE,5469.2,-15
417,KeyCorp,91576,KEY,6021,OH,OH,5458,554
418,Mylan,916076,MLN,1400,NC,NC,5450.5,345.1
419,Agilent Technologies,1090872,A,3825,CA,DE,5444,684
420,WellCare Health Plans,1279363,WCG,6324,FL,DE,5440.2,-53.4
421,Pitney Bowes,78814,PBI,3579,CT,DE,5425.3,292.4
422,CH2M Hill,,PRIVATE,,,,5422.8,93.7
423,Lubrizol,60751,LZ,2860,OH,OH,5417.8,732.2
424,O'Reilly Automotive,898173,ORLY,5531,MO,MO,5397.5,419.4
425,Auto-Owners Insurance,939930,AOI,5150,NC,VA,5395.8,270.6
426,Fidelity National Information Services,1136893,FIS,7389,FL,FL,5331,404.5
427,Mohawk Industries,851968,MHK,2273,GA,DE,5319.1,185.5
428,Consol Energy,1070412,CNX,1221,PA,DE,5236,346.8
429,Harris,202058,HRS,3812,FL,DE,5206.1,561.6
430,Integrys Energy Group,916863,TEG,4931,IL,WI,5203.2,220.9
431,Western Union,1365135,WU,7389,CO,DE,5192.7,909.9
432,Avis Budget Group,723612,CAR,7510,DE,DE,5185,54
433,Momentive Specialty Chemicals,,PRIVATE,,,,5174,214
434,SunGard Data Systems,789388,SDS,7374,PA,DE,5172,-570
435,Health Management Associates,792985,HMA,8062,FL,DE,5169,150.1
436,St. Jude Medical,203077,STJ,3845,MN,MN,5164.8,907.4
437,Ryder System,85961,R,7510,FL,FL,5136.4,118.2
438,Booz Allen Hamilton Holding,1443646,BAH,8742,VA,DE,5122.6,25.4
439,Emcor Group,105634,EME,1731,CT,DE,5121.3,-86.7
440,CB Richard Ellis Group,1004440,CEG,4911,MD,MD,5119.2,200.3
441,Spectra Energy,1373835,SE,4923,TX,DE,5071,1049
441,Starwood Hotels & Resorts,316206,HOT,7011,NY,MD,5071,477
